,Wednesday,,,,,,
,,,,,,,
,Classical Planning (Session 1a),,,,Distributed and Multi-Agent Planning (Session 1b),,
Short,An Analysis of Merge Strategies for Merge-and-Shrink Heuristics," Sievers, S.; Wehrle, M.; and Helmert, M ", ,Short R,Online Learning of Robot Soccer Free Kick Plans using a Bandit Approach," Mendoza, J. P.; Simmons, R.; and Veloso, M ",
,Abstractions for Planning with State-Dependent Action Costs," Gei&#223;er, F.; Keller, T.; and Mattm&#252;ller, R ", ,Wed,Potential Heuristics for Multi-Agent Planning," Štolba, M.; Fišer, D.; and Komenda, A ",
Short,"Traps, Invariants, and Dead-Ends"," Lipovetzky, N.; Muise, C.; and Geffner, H ", ,Short,Online Macro Generation for Privacy Preserving Planning," Shani, G.; Brafman, R.; and Maliah, S ",
,Recursive Polynomial Reductions for Classical Planning," Tozicka, J.; Jakubuv, J.; and Komenda, A ", ,,Stronger Privacy Preserving Projections for Multi-Agent Planning," Shani, G.; Maliah, S.; and Stern, R ",
,,,,,,,
,Probabilistic/Stochastic Reasoning (Session 2a),,,,Path Planning (Session 2b),,
Wed,OGA-UCT: On the Go Abstractions in UCT," Anand, A.; Noothigattu, R.; Mausam; and Singla, P ", ,R,Path Planning under Interface-Based Constraints for Assistive Robotics," Broad, A.; and Argall, B ",
,Revisiting Goal Probability Analysis in Probabilistic Planning," Steinmetz, M.; Hoffmann, J.; and Buffet, O ", ,R,A Unifying Formalism for Shortest Path Problems with Expensive Edge Evaluations via Lazy Best-First Search over Paths with Edge Selectors," Dellin, C.; and Srinivasa, S ",
,Leveraging Probabilistic Reasoning in Deterministic Planning for Large-Scale Autonomous Search-and-Tracking," Bernardini, S.; Fox, M.; Long, D.; and Piacentini, C ", ,R,Speeding up A* Search on Visibility Graphs Defined Over Quadtrees to Enable Long Distance Path Planning for Unmanned Surface Vehicles," Shah, B.; and Gupta, S. K ",
,,,,,,,
,Planning and Scheduling for Exploration (Session 3a),,,,Distributed and Multi-Agent Systems (Session 3b),,
A,Scheduling Ocean Color Observations for a GEO-Stationary Satellite," Frank, J.; Do, M.; and Tran, T ", ,R,Evaluation of Auction-Based Multi-Robot Routing by Parallel Simulation," Kishimoto, A.; and Nagano, K ",
A,"Planning and control of marine floats in the presence of dynamic, uncertain currents"," Troesch, M.; Chien, S.; Chao, Y.; and Farrara, J ", ,,Multi-Agent Sensor Data Collection with Attrition Risk," Hudack, J.; and Oh, J ",
