L,S,,,Wed,L,S,,,Thu,L,S,,,Friday,,
,,,08:20:00,Opening Remarks,,,,,,,,,,,,
,,01:00:00,08:30:00,Invited Talk,,,01:00:00,08:30:00,Invited Talk,,,01:00:00,08:30:00,Invited Talk,,
,,00:05:00,09:30:00,Break,,,00:05:00,09:30:00,Break,,,00:05:00,09:30:00,Break,,
2,2,01:15:00,09:35:00,Session 1,2,2,01:15:00,09:35:00,Session 5,2,2,01:15:00,09:35:00,Session 8,,
,,00:20:00,10:50:00,Coffee Break,,,00:20:00,10:50:00,Coffee Break,,,00:20:00,10:50:00,Coffee Break,,
3,0,01:10:00,11:10:00,Session 2,3,0,01:10:00,11:10:00,Session 6,3,0,01:10:00,11:10:00,Session 9,,
,,01:30:00,12:20:00,Lunch,,,01:30:00,12:20:00,Lunch,,,01:30:00,12:20:00,Lunch,,
3,0,01:10:00,13:50:00,Session 3,4,0,01:30:00,13:50:00,Session 7 (Best Papers),3,0,01:10:00,13:50:00,Session 10,,
,,00:20:00,15:00:00,Coffee Break,,,00:20:00,15:20:00,Coffee Break,,,00:20:00,15:00:00,Coffee Break,,
2,0,00:45:00,15:20:00,Session 4,,,01:05:00,15:40:00,ICAPS 2016 Best Dissertation and Most Influential Paper Award Talks,4,0,01:30:00,15:20:00,Session 11,,
,,00:45:00,16:05:00,Comp Results,,,01:00:00,16:45:00,Community Meeting,,,00:10:00,16:50:00,Go Home,,
,,00:10:00,16:50:00,Break,,,,17:40:00,Boat,,,,,,,
,,,17:00:00,Posters + Demos,,,,,,,,,,,L,S
20,4,,,,14,4,,,,24,4,,,,58,12
,,,,,,,,,,,,,,,56,14
